StationCode,saltwater
0,True
12N,True
12S,True
15N,True
15S,False
201LAG115,False
201LAG120,False
201LAG210,False
201LAG230,False
201LAG390,False
201WLK162,False
202BUT040,False
202BUT050,False
202PES060,False
202PES134,False
202PES135,False
202PES150,False
202PES193,False
202PES194,False
202SGR079,False
202SGR100,False
204SLE070,False
204SLE090,False
204SLE170,False
204SLE190,False
204SLE200,False
204SMA020,False
204SMA060,False
204SMA080,False
205PER080,False
205STE020,False
205STE070,False
205STE080,False
205STE090,False
206PET265,False
206PET310,False
206PET315,False
206PET400,False
206SPA060,False
206SPA150,False
206WIL070,False
206WIL130,False
207KIR053,False
207KIR110,False
207MTD120,False
21N,True
21S,True
27N,True
27S,True
29S,True
304APS,False
304APT,False
304APW,False
304ARA,False
304BEP,False
304BH9,False
304BRA,False
304GAZ,True
304LOR,True
304RIV,False
304SCM,False
304SCO,True
304SL9,False
304SLB,False
304SLE,False
304SOK,False
304SOQ,False
304SOU,False
304VAL,False
304WAD,True
304ZAY,False
305BRI,False
305CAR,False
305CHE,False
305CHI,False
305COR,False
305COR2,False
305FRA,False
305FUF,False
305HAR,True
305HOL,False
305LEA,False
305LLA,False
305LUC,False
305MON,False
305MUR,False
305OAK,False
305PAC,False
305PAJ,False
305PES,False
305PJP,False
305SAN,False
305SJN,False
305STL,True
305TES,False
305THU,False
305TRE,False
305UVA,False
305VIS,False
305WSA,False
306CAR,True
306ELK,True
306MCM,False
306WAC,False
307CMD,False
307CML,False
307CMN,False
307CMU,False
307TUL,False
308BGC,False
308BSR,False
308BSU,False
308GAR,False
308LIM,False
308LSR,False
308LSU,False
308MIL,False
308SAM,False
308SJC,False
308WLO,False
309ALD,False
309ALU,False
309ATS,False
309AXX,False
309DAV,False
309DSA,False
309GAB,False
309GRN,False
309KNG,False
309LOK,False
309LOR,False
309MOR,True
309NAC,False
309OLD,True
309POT,True
309PSO,False
309QUA,False
309RTA,False
309SAC,False
309SAN,False
309SAS,False
309SAT,False
309SBR,True
309SDR,False
309SEC,False
309SET,False
309SUN,False
309TDW,False
309TEM,True
309TOP,False
309UAL,False
309UQA,False
309USA,False
310ADC,True
310AGB,False
310AGF,False
310AGS,False
310ARG,False
310BER,False
310CAN,False
310CAY,False
310COO,False
310MOL,False
310MOR,False
310OLD,False
310PCO,True
310PIS,False
310PRE,False
310SCN,False
310SCP,True
310SLB,False
310SLC,False
310SLM,False
310SLV,False
310SRO,True
310SRU,False
310SSC,True
310SSU,False
310TOR,False
310TUR,False
310TWB,True
310VIA,False
311SLE,False
311SLN,False
312ALA,False
312BCD,False
312BCF,False
312BCU,False
312BRE,False
312BSR,False
312CAV,False
